Player,Pos,Age,Tm,MP,FG%,3P%,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS
Darius Garland,PG,22,CLE,35.7,0.462,0.383,0.536,0.892,3.3,8.6,1.3,0.1,3.6,21.7
Marcus Garrett,SG,23,MIA,10.7,0.238,0.25,0.262,0.4,1.9,0.6,0.4,0.3,0.2,1.1
Usman Garuba,PF,19,HOU,10,0.432,0.25,0.489,0.714,3.5,0.7,0.4,0.5,0.3,2
Luka Garza,C,23,DET,12.2,0.449,0.327,0.503,0.623,3.1,0.6,0.3,0.2,0.6,5.8
Rudy Gay,PF,35,UTA,18.9,0.414,0.345,0.507,0.785,4.4,1,0.5,0.3,0.9,8.1
Paul George,SF,31,LAC,34.7,0.421,0.354,0.493,0.858,6.9,5.7,2.2,0.4,4.1,24.3
Taj Gibson,C,36,NYK,18.2,0.518,0.395,0.563,0.808,4.4,0.6,0.4,0.8,0.5,4.4
Josh Giddey,SG,19,OKC,31.5,0.419,0.263,0.461,0.709,7.8,6.4,0.9,0.4,3.2,12.5
Shai Gilgeous-Alexander,PG,23,OKC,34.7,0.453,0.3,0.496,0.81,5,5.9,1.3,0.8,2.8,24.5
Anthony Gill,PF,29,WAS,10.5,0.569,0.538,0.633,0.808,1.9,0.6,0.1,0.3,0.4,4.1
Freddie Gillespie,PF,24,ORL,13.2,0.409,0,0.409,0.429,4,0.6,0.3,1,0.6,2.3
Rudy Gobert,C,29,UTA,32.1,0.713,0,0.713,0.69,14.7,1.1,0.7,2.1,1.8,15.6
Brandon Goodwin,PG,26,CLE,13.9,0.416,0.345,0.477,0.632,1.9,2.5,0.7,0,1,4.8
Jordan Goodwin,SG,23,WAS,3,0,0,0,0,0.5,0,0,0,0,0
Aaron Gordon,PF,26,DEN,31.7,0.52,0.335,0.573,0.743,5.9,2.5,0.6,0.6,1.8,15
Eric Gordon,SG,33,HOU,29.3,0.475,0.412,0.585,0.778,2,2.7,0.5,0.3,1.9,13.4
Devonte' Graham,PG,26,NOP,28.4,0.363,0.341,0.481,0.843,2.3,4.2,0.9,0.2,1.4,11.9
Jerami Grant,PF,27,DET,31.9,0.426,0.358,0.491,0.838,4.1,2.4,0.9,1,1.8,19.2
Hassani Gravett,PG,25,ORL,21.4,0.474,0.423,0.618,0.75,2.6,2.5,0.6,0.1,1.1,6.3
Danny Green,SF,34,PHI,21.8,0.394,0.38,0.555,0.786,2.5,1,1,0.6,0.7,5.9
Draymond Green,PF,31,GSW,28.9,0.525,0.296,0.556,0.659,7.3,7,1.3,1.1,3,7.5
Jalen Green,SG,19,HOU,31.9,0.426,0.343,0.508,0.797,3.4,2.6,0.7,0.3,2,17.3
JaMychal Green,PF,31,DEN,16.2,0.486,0.266,0.537,0.871,4.2,0.9,0.6,0.4,0.9,6.4
Javonte Green,SF,28,CHI,23.4,0.542,0.356,0.597,0.833,4.2,0.9,1,0.5,0.5,7.2
Jeff Green,C,35,DEN,24.7,0.524,0.315,0.574,0.833,3.1,1.3,0.4,0.4,0.9,10.3
Josh Green,SG,21,DAL,15.5,0.508,0.359,0.563,0.689,2.4,1.2,0.7,0.2,0.7,4.8
Blake Griffin,PF,32,BRK,17.1,0.425,0.262,0.486,0.724,4.1,1.9,0.5,0.3,0.6,6.4
Quentin Grimes,SG,21,NYK,17.1,0.404,0.381,0.557,0.684,2,1,0.7,0.2,0.6,6
Kyle Guy,SG,24,MIA,9.8,0.4,0.35,0.508,0.667,0.9,0.9,0.4,0.1,0.7,3.9
Rui Hachimura,PF,23,WAS,22.5,0.491,0.447,0.563,0.697,3.8,1.1,0.5,0.2,0.8,11.3
Tyrese Haliburton,SG-PG,21,TOT,35,0.473,0.414,0.562,0.842,4,8.2,1.7,0.6,2.6,15.3
Tyrese Haliburton,SG,21,SAC,34.5,0.457,0.413,0.546,0.837,3.9,7.4,1.7,0.7,2.3,14.3
Tyrese Haliburton,PG,21,IND,36.1,0.502,0.416,0.59,0.849,4.3,9.6,1.8,0.6,3.2,17.5
Tyler Hall,SG,24,NYK,2,0,0,0,0,0,0,0,0,0,0
R.J. Hampton,SG,20,ORL,21.9,0.383,0.35,0.453,0.641,3,2.5,0.7,0.2,1.4,7.6
Tim Hardaway Jr.,SG,29,DAL,29.6,0.394,0.336,0.491,0.757,3.7,2.2,0.9,0.1,0.8,14.2
James Harden,PG-SG,32,TOT,37.2,0.41,0.33,0.485,0.877,7.7,10.3,1.3,0.6,4.4,22
James Harden,PG,32,BRK,37,0.414,0.332,0.486,0.869,8,10.2,1.3,0.7,4.8,22.5
James Harden,SG,32,PHI,37.7,0.402,0.326,0.483,0.892,7.1,10.5,1.2,0.2,3.4,21
Maurice Harkless,SF,28,SAC,18.4,0.459,0.307,0.544,0.714,2.4,0.5,0.6,0.5,0.7,4.6
Jared Harper,PG,24,NOP,8.6,0.538,0.417,0.635,1,0.4,2.8,0.8,0.2,0.4,7.4
Montrezl Harrell,C,28,TOT,23.1,0.645,0.235,0.649,0.716,6.1,2,0.4,0.6,1,13.1
Montrezl Harrell,C,28,WAS,24.3,0.645,0.267,0.65,0.727,6.7,2.1,0.4,0.7,1.1,14.1
Montrezl Harrell,C,28,CHO,21,0.645,0,0.645,0.692,4.9,2,0.4,0.5,0.9,11.4
Gary Harris,SG,27,ORL,28.4,0.434,0.384,0.539,0.874,2,1.8,1,0.1,1,11.1
Joe Harris,SF,30,BRK,30.2,0.452,0.466,0.617,0.833,4,1,0.5,0.1,1.1,11.3
Tobias Harris,PF,29,PHI,34.8,0.482,0.367,0.532,0.842,6.8,3.5,0.6,0.6,1.6,17.2
Shaquille Harrison,SG,28,BRK,11.5,0.333,0,0.333,0,2,1.5,0.5,0.5,1,2
Josh Hart,SG-SF,26,TOT,33.2,0.504,0.343,0.569,0.758,7.2,4.1,1.1,0.2,2.1,14.9
Josh Hart,SG,26,NOP,33.5,0.505,0.323,0.56,0.753,7.8,4.1,1.1,0.3,2,13.4
Josh Hart,SF,26,POR,32.1,0.503,0.373,0.587,0.772,5.4,4.3,1.2,0.2,2.5,19.9
Isaiah Hartenstein,C,23,LAC,17.9,0.626,0.467,0.645,0.689,4.9,2.4,0.7,1.1,1.2,8.3
Udonis Haslem,C,41,MIA,6.4,0.452,0.25,0.468,1,1.9,0.3,0.1,0.1,0.4,2.5
Sam Hauser,SF,24,BOS,6.1,0.46,0.432,0.65,0,1.1,0.4,0,0.1,0.1,2.5
Jaxson Hayes,C,21,NOP,20,0.616,0.351,0.641,0.766,4.5,0.6,0.5,0.8,0.8,9.3
Killian Hayes,PG,20,DET,25,0.383,0.263,0.431,0.77,3.2,4.2,1.2,0.5,1.7,6.9
Gordon Hayward,SF,31,CHO,31.9,0.459,0.391,0.528,0.846,4.6,3.6,1,0.4,1.7,15.9
Aaron Henry,SF,22,PHI,2.8,0.2,0,0.2,0,0.2,0,0,0.3,0.3,0.3
